연번,시군,읍면동,시설종류,시설용도(공공용 시설건물 주용도),민방위대피시설명칭,주소(도로명 주소),주소(지번 주소),대피가능면적(제곱미터),대피 가능인원(명)
283,안동시,태화동,공공용,종교시설,동안교회 지하1층,안동시 태화1길13-10(태화동),안동시 태화동 267-19,165,165
284,안동시,풍천면,공공용,주거시설,"안동상록아파트 지하주차장 1층, 2층",안동시 풍천면 갈전리 1178,안동시 풍천면 검무로 41,15405,15405
285,안동시,풍천면,공공용,주거시설,"경북도청신도시 코오롱하늘채 지하주차장 1층, 2층",안동시 풍천면 갈전리 1177,안동시 풍천면 검무로 35-14,31203,31203
286,안동시,풍천면,공공용,주거시설,코아루프라임시티 1차 지하주차장,안동시  풍천면 갈전리 1658,안동시 풍천면 천년숲동로 46,5877,5877
287,구미시,도량동,공공용,주거시설,도산휴먼시아 지하주차장 1층,"경상북도 구미시 문장로12길 45 (도량동, 도산휴먼시아)",경상북도 구미시 도량동 754번지,1485,1485
288,구미시,선주원남동,공공용,주거시설,동방주택6차 지하주차장 1층,경상북도 구미시 원남로2길 9 (남통동),경상북도 구미시 남통동 23번지 84호,172,172
289,구미시,형곡1동,공공용,주거시설,반석드림파크 9차 지하주차장 1층,경상북도 구미시 경은로 100 (형곡동),경상북도 구미시 형곡동 143번지 1호,962,962
290,구미시,상모사곡동,공공용,주거시설,보성황실2차아파트 지하주차장1~4층,"경상북도 구미시 상사동로28길 11 (사곡동, 보성2차황실타운)",경상북도 구미시 사곡동 656번지 9호,6088,6088
291,구미시,상모사곡동,공공용,주거시설,상모한신휴플러스 지하주차장1~4층,"경상북도 구미시 박정희로 76(상모동, 상모한신휴플러스)",경상북도 구미시 상모동 541번지,4050,4050
292,구미시,송정동,공공용,주거시설,푸르지오캐슬B단지 지하주차장1층,"경상북도 구미시 산책길7(송정동, 푸르지오캐슬B단지아파트)",경상북도 구미시 송정동 1번지,19015,19015
293,구미시,상모사곡동,공공용,주거시설,화성파크프레지던트1단지아파트 지하주차장1~4층,"경상북도 구미시 상모로10길 40 (상모동, 화성파크프레지던트1단지)",경상북도 구미시 상모동 72번지,4535,4535
294,구미시,양포동,공공용,주거시설,구미옥계휴먼시아 2단지 지하주차장 1층~3층,"경상북도 구미시 옥계북로 43-52 (옥계동, 옥계휴먼시아2단지)",경상북도 구미시 옥계동 905번지,20760,20760
295,구미시,선산읍,공공용,관공서,농업기술센터 지하 1층,경상북도 구미시 선산읍 김선로 963 (구미시농업기술센터),경상북도 구미시 선산읍 509번지,358,358
296,구미시,선산읍,공공용,주거시설,동우아파트 지하 1층 주차장,경상북도 구미시 선산읍 동교3길 20-1,경상북도 구미시 선산읍 교리 1165번지,479,479
297,구미시,선산읍,공공용,관공서,선산읍 행정복지센터 지하1층,경상북도 구미시 선산읍 선산중앙로 71-1 (선산읍사무소),경상북도 구미시 선산읍 59번지 10호,110,110
298,구미시,선산읍,공공용,관공서,선산출장소 지하1층,경상북도 구미시 선산읍 선산중앙로 83-2,경상북도 구미시 선산읍 동부리 542번지 3호,302,302
299,구미시,선산읍,공공용,주거시설,세원아파트 지하 1층 주차장,경상북도 구미시 선산읍 선주로 15-0,경상북도 구미시 선산읍 이문리 455번지,512,512
300,구미시,선산읍,공공용,주거시설,이편한세상 구미교리 지하 1층 주차장,경상북도 구미시 구미시 선산읍 선산향교길 14,경상북도 구미시 선산읍 교리 1172,7178.68,7178
301,구미시,고아읍,공공용,주거시설,청솔타운 지하주차장 1층,경상북도 구미시 고아읍 들성로11길 46-7 (청솔타운),경상북도 구미시 고아읍 42번지,2182,2182
302,구미시,고아읍,공공용,주거시설,원호한누리타운3단지 지하주차장 1층,경상북도 구미시 고아읍 문장로22길 33 (원호한누리타운3단지),경상북도 구미시 고아읍 447번지,5381,5381
303,구미시,고아읍,공공용,주거시설,구미원호대우아파트 지하주차장 1층,경상북도 구미시 고아읍 문장로26길 11 (구미원호대우아파트),경상북도 구미시 고아읍 449번지,13942,13942
304,구미시,고아읍,공공용,주거시설,고아에덴타운 지하주차장 1층,경상북도 구미시 고아읍 선산대로 1218 (고아에덴타운),경상북도 구미시 고아읍 460번지 1호,5289,5289
305,구미시,고아읍,공공용,주거시설,삼우힐타운 지하주차장 1층,경상북도 구미시 고아읍 선산대로 608 (삼우힐타운),경상북도 구미시 고아읍 911번지 114호,3177,3177
306,구미시,고아읍,공공용,주거시설,괴평무지개아파트 지하주차장 1층,경상북도 구미시 고아읍 송평구길 62 (괴평무지개아파트),경상북도 구미시 고아읍 377번지,2182,2182
307,구미시,고아읍,공공용,주거시설,금오골든타워 지하주차장 1층,경상북도 구미시 고아읍 지산25길 8 (금오골든타워),경상북도 구미시 고아읍 814번지 1호,1904,1904
308,구미시,옥성면,공공용,관공서,옥성면행정복지센터 지하1층,경상북도 구미시 옥성면 주아령로 415 (옥성면사무소),경상북도 구미시 옥성면 965번지 19호,149,149
