No,쉼터명칭,도로명주소,지번주소,시설유형,시설면적,이용가능인원(명),위도,경도
76,흥기3리,경상북도 영덕군 달산면 궁터길 24-61 ,경상북도 영덕군 달산면 흥기리 706,노인시설,87.00,26,36.364276,129.310698
77,주응1리,경상북도 영덕군 달산면 주응길 184-2 ,경상북도 영덕군 달산면 주응리 61-3,노인시설,90.00,27,36.3664336,129.2913997
78,주응2리,경상북도 영덕군 달산면 주응길 42,경상북도 영덕군 달산면 주응리 240-4,노인시설,46.00,14,36.359278,129.278921
79,옥산1리,경상북도 영덕군 달산면 하마산길 16,경상북도 영덕군 달산면 옥산리 122-1,노인시설,99.00,30,36.358942,129.286681
80,옥산2리,경상북도 영덕군 달산면 상마산길 25-44 ,경상북도 영덕군 달산면 옥산리 429-4,노인시설,56.00,17,36.3521,129.278976
81,옥산3리,경상북도 영덕군 달산면 수구만길 15,경상북도 영덕군 달산면 옥산리 815-1,마을회관,51.00,15,36.341656,129.271888
82,옥산학구,경상북도 영덕군 달산면 팔각산로 1141,경상북도 영덕군 달산면 옥산리 353-12,마을회관,73.00,22,36.357224,129.281997
83,인곡리,경상북도 영덕군 달산면 주왕산로 3342,경상북도 영덕군 달산면 인곡리 116,노인시설,64.00,19,36.4114635,129.2746809
84,용전리,경상북도 영덕군 달산면 용전길 2-16 ,경상북도 영덕군 달산면 용전리 197-1,노인시설,73.00,22,36.3970931,129.2583085
85,덕산1리,경상북도 영덕군 달산면 주왕산로 2952,경상북도 영덕군 달산면 덕산리 373-1,노인시설,66.00,20,36.3835709,129.2552847
86,덕산2리,경상북도 영덕군 달산면 청련길 18-1 ,경상북도 영덕군 달산면 덕산리 622,노인시설,57.00,17,36.3794168,129.2521471
87,봉산리,경상북도 영덕군 달산면 주왕산로 2779-10 ,경상북도 영덕군 달산면 봉산리 233,노인시설,73.00,22,36.3702061,129.247693
88,대지1리,경상북도 영덕군 달산면 대지1길 31-3 ,경상북도 영덕군 달산면 대지리 351,노인시설,113.00,34,36.4005018,129.3038537
89,대지2리,경상북도 영덕군 달산면 대지2길 23,경상북도 영덕군 달산면 대지리 769,노인시설,82.00,25,36.405182,129.2991537
90,용평리,경상북도 영덕군 달산면 용평길 140-1 ,경상북도 영덕군 달산면 용평리 263,노인시설,62.00,19,36.3927029,129.2901061
91,매일1리,경상북도 영덕군 달산면 매화길 29,경상북도 영덕군 달산면 매일리 93-1,노인시설,74.00,22,36.374817,129.302666
92,삼화2리 경로당,경상북도 영덕군 지품면 삼화1길 17-11 ,경상북도 영덕군 지품면 삼화리 538-2,노인시설,84.00,21,36.447218,129.32336
93,오천학구경로당,경상북도 영덕군 지품면 경동로 7741,경상북도 영덕군 지품면 오천리 306-5,노인시설,67.09,16,36.430991,129.327054
94,오천1리 경로당,경상북도 영덕군 지품면 오천길 22,경상북도 영덕군 지품면 오천리 241-4,마을회관,75.24,18,36.428069,129.326467
95,오천2리 경로당,경상북도 영덕군 지품면 오천2길 45,경상북도 영덕군 지품면 오천리 428-6,마을회관,90.86,22,36.43239,129.322896
96,신양리 경로당,경상북도 영덕군 지품면 팔각산로 2257-2 ,경상북도 영덕군 지품면 신양리 196-11,노인시설,114.60,28,36.430426,129.306956
97,눌곡리 경로당,경상북도 영덕군 지품면 눌곡길 145-11 ,경상북도 영덕군 지품면 눌곡리 361,노인시설,75.74,18,36.434663,129.286323
98,용덕1리 경로당,경상북도 영덕군 지품면 용덕1길 34,경상북도 영덕군 지품면 용덕리 36-3,노인시설,64.20,16,36.421425,129.279418
99,용덕2리 경로당,경상북도 영덕군 지품면 용덕길 253,경상북도 영덕군 지품면 용덕리 231-6,노인시설,126.20,31,36.419542,129.26147
100,송천1리 경로당,경상북도 영덕군 지품면 묵방길 137,경상북도 영덕군 지품면 송천리 347-2,노인시설,78.65,19,36.438008,129.243772
101,송천2리 경로당,경상북도 영덕군 지품면 묵방길 304,경상북도 영덕군 지품면 송천리 107,노인시설,78.65,19,36.430433,129.253202
102,낙평리 경로당,경상북도 영덕군 지품면 낙평2길 5,경상북도 영덕군 지품면 낙평리 378-1,노인시설,141.30,35,36.450643,129.234803
103,낙평세류경로당,경상북도 영덕군 지품면 경동로 6691-14 ,경상북도 영덕군 지품면 낙평리 110-2,노인시설,62.72,15,36.446754,129.244058
104,복곡리 경로당,경상북도 영덕군 지품면 복곡1길 5,경상북도 영덕군 지품면 복곡리 154,노인시설,99.25,24,36.474373,129.19789
105,원전경로당,경상북도 영덕군 지품면 원전2길 11,경상북도 영덕군 지품면 원전리 409,노인시설,154.60,38,36.484484,129.188839
