순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
288,2016-069,2016-09-09,9:09:00,성호포리캠,"부산  강서구 녹산산단165로14번길 11-17, 성호포리캠",부산,강서구,"포름알데하이드 FRP저장탱크(30톤)가 원인미상의 파열로 인해 탱크내 저장되어있던 포름알데하이드 10톤(약 고상 8톤, 액상 2톤) 중 액상 2톤이 우수관로로 유출 발생",시설 결함,누출,포름알데하이드(37%),,,0,0,0,0,,800만원
289,2016-070,2016-09-23,15:00:00,의성산업㈜,"경북 의성군 단밀면 낙정리 848, 의성산업㈜",경북,의성군,"사업장 옥내에 설치되어 있는 중합탱크(1호기)에서 다이에틸아민(85%)과 폼알데하이드(37%)을 반응도 57:43 비율로 열을 가하여 반응시켜 시멘트 혼화제를 제조하는 과정에서 반응조가 역류하여 지하 방류 방지시설에 유입되었으며, 해당 반응물을 회수하는 과정에서 회수 호스에 구멍이 생겨 약 1톤(추정) 정도가 부지내 우수관으로 흘러들어 인근 수정천으로 유입되어 물고기 폐사",시설 결함,누출,포름알데하이드(37%),다이에탄올아민(85%),,0,0,0,0,물고기폐사,
290,2016-071,2016-10-07,14:45:00,서광데코,경기 포천시 가산면 금현리 471-1 서광데코,경기,포천시,위험물 옥외저장소에서 용기에 옮겨 담던 중 화재·폭발이 발생하여 인근 컨테이너 4동 중 3동 화재로 소실,안전기준 미준수,화재,톨루엔,MEK,에틸알콜,0,0,0,0,,1670만원
291,2016-072,2016-10-10,,제삼특장㈜,"충북 청주시 흥덕구 직지대로 240번길 38, 인근 도로상",충북,청주시 흥덕구,제삼특장(주) 탱크로리 차량이 아세트산 에틸(99%)을 운반하고  복귀하던 중 도로가에서 탱크 내 잔량확인을 위해 밸브를 열어 아세트산 에틸(99%) 약 1L가 도로상에 유출된 사고,운송차량,누출,아세트산에틸,,,0,0,0,0,,
292,2016-073,2016-10-24,13:40:00,금정,"울산 울주군 온산읍 산남길 17-22, ㈜금정 공장동",울산,울주군,인조대리석 경화제 (KJ-PM30)의 원료로 사용되는 반제품(TBHPO)을 제조하기 위하여 건조동에서 수분이 함유된 TBHPO 분말을 건조기에서 건조 후 꺼내던 중 화재 및 폭발이 발생한 사고,시설 결함,화재,Tert-Butyl monoperoxymalate,,,0,0,1,0,,3186만원
293,2016-074,2016-10-26,0:03:00,신일도금,"광주 광산구 하남산단 6번로 73-9(오선동 270-75), 신일도금",광주,광산구,"화재로 폐수저장조(FRP, 5m3×2)가 용융되어 저장조에 보관 중이던 무수 크롬산을 함유한 폐수(4톤) 및 도금원액(유출량 추정 중, 3톤 저장조)이 유출",시설 결함,누출,"무수 크롬산 폐액(0.018%, 추정)",,,0,0,0,0,,4631만원
294,2016-075,2016-11-05,23:28:00,더본냉장,경기 오산시 동부대로 468-31 더본냉장,경기,오산시,"냉동창고 3층, 냉장용 냉매가스 배관 보수 작업 중 배관 내에 남아있던 암모니아가 누출되어 발생한 사고",시설 결함,누출,암모니아,,,0,0,0,0,,
295,2016-076,2016-11-09,8:28:00,CJ헬스케어,"경기 이천시 마장면 덕평로 811(덕평리 508), CJ헬스케어 연구소",경기,이천시,실험실 입구에 있는 시약장 정리 중 질산 PE병이 바닥에 낙하 하면서 질산이 튀어 질산 5kg 유출,안전기준 미준수,누출,질산,,,0,0,1,0,,
296,2016-077,2016-11-16,,여천NCC㈜(㈜동백운수),"전남 여수시 여수산단2로 220-62, 여천NCC㈜ 여수3공장 사업장 내",전남,여수시,"㈜동백통운 황산 탱크로리(전북98사 3016) 차량이 여천NCC 3공장 폐수처리장 황산 저장탱크 방류턱 내에 정차하고 하역작업을 위해, 탱크로리 뒷부분에 위치한 송출배관 CAP(덮개)을 여는 순간 황산이 유출되어 운전자에게 쏟아지는 사고 발생(약 30리터 유출) ",운송차량,누출,황산,,,0,0,1,0,,
297,2016-078,2016-12-13,7:51:00,GC테크 ,"경기 화성시 남양읍 신남로 299번길 9-4(신남리 1347), ㈜GC테크 기업부설연소",경기,화성시,"자동차 세정제를 만드는 공장으로 실험과정에서 질산 20L, 메탄올 10L, 불화암모늄 500g 순서로 혼합하여야 하나 불화암모늄, 메탄올 순서를 잘못 넣으면서 화학반응을 일으키면서 노란색 가스가 누출되어 악취 발생(경기소방본부 상황보고서)",안전기준 미준수,누출,질산,메탄올,산성불화암모늄,0,0,1,0,,
298,2017-001,2017-01-03,10:38:00,소포석유,전남 진도군 지산면 지산민속로 636 부근 도로상,전남,진도군,운전부주의로 유류(등유 약 800L 적재) 운반차량(1톤)이 농로에서 전복되어 적재한 등유 약 200L가 도로로 유출 추정,운송차량,누출,등유,,,0,0,0,1,,
299,2017-002,2017-01-22,5:42:00,SK종합화학,"울산 남구 신여천로 2(여천동), SK종합화학㈜",울산,남구,NRC공정 내 수소를 고압으로 압축하는 P-C 7202B 설비의 석션밸브(suction valve) 플랜지 부위에서 저순도 수소가스가 누설되어 연소범위 내 폭발한 것으로 추정,시설 결함,폭발,수소,,,0,0,0,0,,
300,2017-003,2017-01-23,7:14:00,국민양초,경기 포천시 내촌면 음현리 460-2 국민양초,경기,포천시,양초제조업체(국민양초) 공장에서 화재발생(파라핀 100톤 보관),시설 결함,화재,파라핀,,,0,0,0,0,,
