연번,시도,시군구,읍면동,리,지번,(위도)도,(위도)분,(위도)초,(경도)도,(경도)분,(경도)초,취약지역유형,지정면적(제곱미터),데이터기준일자
2780,경상북도,영주시,하망동,,산52,36,49,24.044,128,38,43.510,토석류,0,2026-06-04
2781,경상북도,영주시,조와동,,산31-1,36,52,25.269,128,38,50.568,토석류,1161,2026-06-04
2782,경상북도,영주시,부석면,임곡리,산118구,37,0,30.399,128,39,18.100,토석류,135.72,2026-06-04
2783,경상북도,영주시,부석면,임곡리,산17-1,37,0,43.17,128,39,22.45,토석류,30,2026-06-04
2784,경상북도,영주시,부석면,임곡리,산33번지,37,0,29.621,128,39,22.709,토석류,10500,2026-06-04
2785,경상북도,영주시,상망동,,산40-12,36,50,59.529,128,39,18.639,산사태,2270,2026-06-04
2786,경상북도,영주시,부석면,남대리,산11임,37,2,47.999,128,39,33.200,토석류,1635,2026-06-04
2787,경상북도,영주시,평은면,용혈리,산55 외 1개소,36,44,21.279,128,39,22.630,토석류,1,2026-06-04
2788,경상북도,영주시,상망동,,201-5,36,50,23.352,128,39,28.956,산사태,1272,2026-06-04
2789,경상북도,영주시,부석면,임곡리,산7-2,37,0,26.829,128,39,53.464,토석류,3500,2026-06-04
2790,경상북도,영주시,부석면,남대리,산16,37,2,24.853,128,40,2.376,토석류,729,2026-06-04
2791,경상북도,영주시,부석면,소천리,산26임,36,58,35.057,128,40,2.664,토석류,0,2026-06-04
2792,경상북도,영주시,평은면,용혈리,산174임,36,42,55.599,128,39,49.400,토석류,0,2026-06-04
2793,경상북도,영주시,이산면,운문리,1270번지,36,46,17.049,128,40,18.723,토석류,3000,2026-06-04
2794,경상북도,영주시,평은면,금광리,산32임,36,44,27.499,128,40,18.300,토석류,1060.2,2026-06-04
2795,경상북도,영주시,평은면,금광리,1247-12 구,36,44,41.699,128,40,24.800,토석류,1516,2026-06-04
2796,경상북도,영주시,평은면,강동리,산120,36,42,53.619,128,40,26.252,토석류,239892.97,2026-06-04
2797,경상북도,영주시,평은면,강동리,산120-11,36,42,54.7,128,40,26.2,토석류,0,2026-06-04
2798,경상북도,영주시,이산면,신천리,산253,36,47,2.179,128,40,35.697,토석류,242416.98,2026-06-04
2799,경상북도,영주시,이산면,신암리,산69-1임,36,50,46.025,128,40,39.052,토석류,0,2026-06-04
2800,경상북도,영주시,부석면,북지리,산29임,36,59,29.199,128,40,55.600,산사태,160,2026-06-04
2801,경상북도,영주시,이산면,용상리,산68,36,47,53.999,128,41,2.041,토석류,10952.61,2026-06-04
2802,경상북도,영주시,이산면,용상리,산54임,36,47,43.057,128,41,9.771,토석류,598,2026-06-04
2803,경상북도,영주시,부석면,북지리,산66구,36,59,38.271,128,41,23.023,토석류,1670.4,2026-06-04
2804,경상북도,영주시,평은면,강동리,산120-11,36,42,58.8,128,41,10.2,토석류,0,2026-06-04
2805,경상북도,영주시,평은면,강동리,1201구,36,42,52.599,128,41,14.241,토석류,44336.6,2026-06-04
2806,경상북도,영주시,평은면,강동리,산159임,36,43,15.499,128,41,16.800,토석류,202.74,2026-06-04
2807,경상북도,영주시,평은면,강동리,산271,36,43,57.775,128,41,25.359,토석류,8000,2026-06-04
2808,경상북도,영주시,이산면,내림리,684임,36,48,52.299,128,41,36.500,토석류,968,2026-06-04
2809,경상북도,영주시,이산면,내림리,산34,36,49,12.15,128,41,40.71,토석류,595,2026-06-04
2810,경상북도,영주시,평은면,강동리,산21임,36,44,21.999,128,41,39.200,토석류,1491,2026-06-04
2811,경상북도,영주시,평은면,평은리,산47-2임,36,45,17.149,128,41,44.284,산사태,13936,2026-06-04
2812,경상북도,영주시,평은면,강동리,산36-3임,36,43,52.875,128,41,59.152,토석류,1492,2026-06-04
2813,경상북도,영주시,평은면,강동리,산44임,36,43,53.999,128,42,4.000,토석류,474,2026-06-04
2814,경상북도,영주시,이산면,석포리,산90,36,50,12.973,128,42,12.463,산사태,3063,2026-06-04
2815,경상북도,영주시,평은면,오운리,1412답,36,42,50.699,128,42,21.500,토석류,1570.8,2026-06-04
